issuenumber,resolution_time,room,configuration
1293,1983,angular,Gitter
1319,653,angular,Gitter
1350,10671,angular,Gitter
1402,522,angular,Gitter
1425,7,angular,Gitter
1472,1262,angular,Gitter
1486,168,angular,Gitter
1489,1890,angular,Gitter
1506,20,angular,Gitter
1530,90,angular,Gitter
1551,853,angular,Gitter
1594,3922,angular,Gitter
1598,313,angular,Gitter
1606,1,angular,Gitter
1625,1603,angular,Gitter
1640,266,angular,Gitter
1652,700,angular,Gitter
1655,678,angular,Gitter
1744,601,angular,Gitter
1773,15126,angular,Gitter
1797,34,angular,Gitter
1802,2531,angular,Gitter
1807,673,angular,Gitter
1842,391,angular,Gitter
1858,NA,angular,Gitter
1950,1268,angular,Gitter
2013,230,angular,Gitter
2020,9810,angular,Gitter
2031,2402,angular,Gitter
2049,2210,angular,Gitter
2065,17,angular,Gitter
2104,204,angular,Gitter
2110,340,angular,Gitter
2139,168,angular,Gitter
2175,480,angular,Gitter
2194,385,angular,Gitter
2201,1616,angular,Gitter
2216,2109,angular,Gitter
2246,5,angular,Gitter
2296,NA,angular,Gitter
2329,623,angular,Gitter
2340,9446,angular,Gitter
2343,109,angular,Gitter
2379,623,angular,Gitter
2383,4550,angular,Gitter
2397,4,angular,Gitter
2409,27420,angular,Gitter
2413,16636,angular,Gitter
2451,13269,angular,Gitter
2543,427,angular,Gitter
2551,9167,angular,Gitter
2597,621,angular,Gitter
2645,2083,angular,Gitter
2660,219,angular,Gitter
2683,9000,angular,Gitter
2684,5546,angular,Gitter
2753,126,angular,Gitter
2766,933,angular,Gitter
2788,1903,angular,Gitter
2793,3769,angular,Gitter
2800,2016,angular,Gitter
2803,5347,angular,Gitter
2844,3844,angular,Gitter
2865,248,angular,Gitter
2885,70,angular,Gitter
2959,8597,angular,Gitter
2961,8593,angular,Gitter
2962,NA,angular,Gitter
2965,8591,angular,Gitter
3009,NA,angular,Gitter
3076,19,angular,Gitter
3082,2058,angular,Gitter
3104,5681,angular,Gitter
3151,8233,angular,Gitter
3186,15,angular,Gitter
3193,4405,angular,Gitter
3220,2,angular,Gitter
3226,4,angular,Gitter
3257,10290,angular,Gitter
3261,8245,angular,Gitter
3291,87,angular,Gitter
3333,11277,angular,Gitter
3376,607,angular,Gitter
3398,171,angular,Gitter
3406,10702,angular,Gitter
3424,8746,angular,Gitter
3441,69,angular,Gitter
3458,2685,angular,Gitter
3474,7702,angular,Gitter
3503,6997,angular,Gitter
3518,4048,angular,Gitter
3525,8584,angular,Gitter
3528,82,angular,Gitter
3536,72,angular,Gitter
3605,1210,angular,Gitter
3628,6,angular,Gitter
3664,25991,angular,Gitter
3670,7683,angular,Gitter
3689,4155,angular,Gitter
3691,171,angular,Gitter
3701,7630,angular,Gitter
3733,529,angular,Gitter
3740,115,angular,Gitter
3754,8331,angular,Gitter
3755,270,angular,Gitter
3797,3,angular,Gitter
3800,1077,angular,Gitter
3824,702,angular,Gitter
3838,815,angular,Gitter
3866,407,angular,Gitter
3882,1429,angular,Gitter
3901,3,angular,Gitter
3917,2535,angular,Gitter
3921,7089,angular,Gitter
3922,1344,angular,Gitter
3929,NA,angular,Gitter
3938,79,angular,Gitter
3957,990,angular,Gitter
3969,22,angular,Gitter
3979,143,angular,Gitter
3987,4,angular,Gitter
4002,575,angular,Gitter
4004,3480,angular,Gitter
4015,7008,angular,Gitter
4018,32,angular,Gitter
4022,6482,angular,Gitter
4055,6936,angular,Gitter
4059,NA,angular,Gitter
4062,11234,angular,Gitter
4112,6861,angular,Gitter
4131,1247,angular,Gitter
4149,1152,angular,Gitter
4150,92,angular,Gitter
4155,0,angular,Gitter
4166,7158,angular,Gitter
4174,539,angular,Gitter
4197,333,angular,Gitter
4216,35,angular,Gitter
4231,3467,angular,Gitter
4246,6803,angular,Gitter
4278,1239,angular,Gitter
4288,14,angular,Gitter
4318,434,angular,Gitter
4330,3506,angular,Gitter
4333,820,angular,Gitter
4340,3863,angular,Gitter
4350,81,angular,Gitter
4355,6745,angular,Gitter
4363,6733,angular,Gitter
4380,28,angular,Gitter
4389,6665,angular,Gitter
4393,4,angular,Gitter
4402,3061,angular,Gitter
4404,167,angular,Gitter
4416,273,angular,Gitter
4417,1152,angular,Gitter
4427,5881,angular,Gitter
4452,1440,angular,Gitter
4475,6553,angular,Gitter
4486,1774,angular,Gitter
4490,1170,angular,Gitter
4496,80,angular,Gitter
4497,153,angular,Gitter
4504,0,angular,Gitter
4506,1392,angular,Gitter
4516,16,angular,Gitter
4521,32,angular,Gitter
4525,587,angular,Gitter
4551,51,angular,Gitter
4576,56,angular,Gitter
4581,223,angular,Gitter
4588,532,angular,Gitter
4598,6432,angular,Gitter
4603,NA,angular,Gitter
4608,1,angular,Gitter
4612,4,angular,Gitter
4631,10,angular,Gitter
4671,6142,angular,Gitter
4704,410,angular,Gitter
4725,55,angular,Gitter
4733,8307,angular,Gitter
4737,120,angular,Gitter
4760,2850,angular,Gitter
4792,70,angular,Gitter
4805,1278,angular,Gitter
4808,8204,angular,Gitter
4815,5779,angular,Gitter
4821,215,angular,Gitter
4834,1193,angular,Gitter
4841,6120,angular,Gitter
4843,4049,angular,Gitter
4882,101,angular,Gitter
4902,1248,angular,Gitter
4903,11,angular,Gitter
4919,8012,angular,Gitter
4925,2348,angular,Gitter
4930,24113,angular,Gitter
4933,6229,angular,Gitter
4944,7993,angular,Gitter
4945,5927,angular,Gitter
4946,NA,angular,Gitter
4974,24018,angular,Gitter
4998,2,angular,Gitter
5014,9,angular,Gitter
5025,6150,angular,Gitter
5028,436,angular,Gitter
5040,71,angular,Gitter
5046,7897,angular,Gitter
5063,1926,angular,Gitter
5085,2,angular,Gitter
5100,20061,angular,Gitter
5123,125,angular,Gitter
5126,NA,angular,Gitter
5130,459,angular,Gitter
5133,3468,angular,Gitter
5145,5344,angular,Gitter
5155,7,angular,Gitter
5165,411,angular,Gitter
5169,7980,angular,Gitter
5180,51,angular,Gitter
5185,6462,angular,Gitter
5188,4486,angular,Gitter
5200,267,angular,Gitter
5212,23043,angular,Gitter
5223,361,angular,Gitter
5229,4996,angular,Gitter
5231,2851,angular,Gitter
5237,294,angular,Gitter
5248,7,angular,Gitter
5254,11,angular,Gitter
5275,5674,angular,Gitter
5307,5604,angular,Gitter
5309,175,angular,Gitter
5318,5595,angular,Gitter
5334,5011,angular,Gitter
5335,2709,angular,Gitter
5339,7301,angular,Gitter
5345,7582,angular,Gitter
5346,1868,angular,Gitter
5363,2524,angular,Gitter
5385,11744,angular,Gitter
5388,3354,angular,Gitter
5389,329,angular,Gitter
5390,6746,angular,Gitter
5395,5394,angular,Gitter
5403,297,angular,Gitter
5405,5507,angular,Gitter
5407,9388,angular,Gitter
5415,7653,angular,Gitter
5423,6,angular,Gitter
5435,0,angular,Gitter
5443,7344,angular,Gitter
5448,9,angular,Gitter
5458,23402,angular,Gitter
5459,1906,angular,Gitter
5467,NA,angular,Gitter
5481,4817,angular,Gitter
5489,15,angular,Gitter
5492,23348,angular,Gitter
5500,1027,angular,Gitter
5502,1739,angular,Gitter
5505,2,angular,Gitter
5546,35,angular,Gitter
5563,22,angular,Gitter
5564,2646,angular,Gitter
5568,1276,angular,Gitter
5585,319,angular,Gitter
5601,3031,angular,Gitter
5608,3,angular,Gitter
5614,593,angular,Gitter
5622,7076,angular,Gitter
5632,330,angular,Gitter
5635,7501,angular,Gitter
5638,58,angular,Gitter
5661,5,angular,Gitter
5662,6962,angular,Gitter
5670,6424,angular,Gitter
5689,NA,angular,Gitter
5692,4351,angular,Gitter
5698,6988,angular,Gitter
5702,22,angular,Gitter
5710,1368,angular,Gitter
5740,5048,angular,Gitter
5777,112,angular,Gitter
5789,1,angular,Gitter
5807,1349,angular,Gitter
5839,5549,angular,Gitter
5859,6888,angular,Gitter
5875,6847,angular,Gitter
5876,38,angular,Gitter
5908,3914,angular,Gitter
5910,0,angular,Gitter
5918,1011,angular,Gitter
5925,5611,angular,Gitter
5929,866,angular,Gitter
5938,4941,angular,Gitter
5944,8669,angular,Gitter
5949,0,angular,Gitter
5950,5435,angular,Gitter
5953,1980,angular,Gitter
5956,5183,angular,Gitter
5960,6792,angular,Gitter
5964,0,angular,Gitter
5967,4371,angular,Gitter
5968,6810,angular,Gitter
5973,1196,angular,Gitter
5980,6,angular,Gitter
5984,4429,angular,Gitter
5990,4174,angular,Gitter
5992,17135,angular,Gitter
6005,4975,angular,Gitter
6041,5286,angular,Gitter
6053,3829,angular,Gitter
6064,8,angular,Gitter
6094,6862,angular,Gitter
6096,3926,angular,Gitter
6097,1821,angular,Gitter
6102,3908,angular,Gitter
6120,5388,angular,Gitter
6137,6557,angular,Gitter
6149,6556,angular,Gitter
6152,14,angular,Gitter
6154,6552,angular,Gitter
6164,6799,angular,Gitter
6170,NA,angular,Gitter
6179,4829,angular,Gitter
6186,493,angular,Gitter
6204,91,angular,Gitter
6222,0,angular,Gitter
6223,6699,angular,Gitter
6235,6585,angular,Gitter
6248,2527,angular,Gitter
6285,239,angular,Gitter
6290,6343,angular,Gitter
6304,1205,angular,Gitter
6306,5666,angular,Gitter
6311,3377,angular,Gitter
6325,1,angular,Gitter
6326,3479,angular,Gitter
6327,3958,angular,Gitter
6336,444,angular,Gitter
6359,315,angular,Gitter
6366,237,angular,Gitter
6370,4067,angular,Gitter
6371,63,angular,Gitter
6374,5114,angular,Gitter
6375,16543,angular,Gitter
6380,2939,angular,Gitter
6387,3168,angular,Gitter
6388,3519,angular,Gitter
6389,1,angular,Gitter
6392,7118,angular,Gitter
6404,78,angular,Gitter
6413,4978,angular,Gitter
6425,3796,angular,Gitter
6445,3430,angular,Gitter
6446,193,angular,Gitter
6457,5506,angular,Gitter
6468,820,angular,Gitter
6501,3038,angular,Gitter
6506,3171,angular,Gitter
6511,1349,angular,Gitter
6513,NA,angular,Gitter
6526,6103,angular,Gitter
6527,2242,angular,Gitter
6540,6335,angular,Gitter
6548,6543,angular,Gitter
6549,16,angular,Gitter
6562,4065,angular,Gitter
6565,1,angular,Gitter
6569,23,angular,Gitter
6571,14,angular,Gitter
6573,2255,angular,Gitter
6591,5998,angular,Gitter
6595,20880,angular,Gitter
6600,NA,angular,Gitter
6607,28,angular,Gitter
6611,25,angular,Gitter
6637,22278,angular,Gitter
6643,22272,angular,Gitter
6648,1,angular,Gitter
6650,3141,angular,Gitter
6651,22269,angular,Gitter
6652,9911,angular,Gitter
6675,6049,angular,Gitter
6678,3801,angular,Gitter
6703,4569,angular,Gitter
6705,0,angular,Gitter
6710,29704,angular,Gitter
6716,3,angular,Gitter
6727,5852,angular,Gitter
6736,6,angular,Gitter
6747,5,angular,Gitter
6750,16420,angular,Gitter
6782,5822,angular,Gitter
6786,5763,angular,Gitter
6789,170,angular,Gitter
6798,5739,angular,Gitter
6817,81,angular,Gitter
6827,NA,angular,Gitter
6836,2941,angular,Gitter
6867,3962,angular,Gitter
6872,2,angular,Gitter
6886,2857,angular,Gitter
6887,182,angular,Gitter
6889,5260,angular,Gitter
6895,NA,angular,Gitter
6902,4401,angular,Gitter
6904,5627,angular,Gitter
6905,5889,angular,Gitter
6913,10513,angular,Gitter
6926,1,angular,Gitter
6932,1774,angular,Gitter
6947,1966,angular,Gitter
6970,2888,angular,Gitter
6985,5507,angular,Gitter
6993,2738,angular,Gitter
7001,166,angular,Gitter
7037,2135,angular,Gitter
7054,3082,angular,Gitter
7055,NA,angular,Gitter
7067,6244,angular,Gitter
7073,1047,angular,Gitter
7088,2592,angular,Gitter
7093,5372,angular,Gitter
7108,NA,angular,Gitter
7113,12793,angular,Gitter
7116,0,angular,Gitter
7135,21667,angular,Gitter
7136,10466,angular,Gitter
7144,5171,angular,Gitter
7145,5050,angular,Gitter
7158,1662,angular,Gitter
7168,464,angular,Gitter
7199,6385,angular,Gitter
7201,7087,angular,Gitter
7207,2493,angular,Gitter
7208,5254,angular,Gitter
7218,5231,angular,Gitter
7228,22,angular,Gitter
7239,3841,angular,Gitter
7251,NA,angular,Gitter
7270,700,angular,Gitter
7282,2984,angular,Gitter
7289,NA,angular,Gitter
7294,28833,angular,Gitter
7301,184,angular,Gitter
7308,6960,angular,Gitter
7311,76,angular,Gitter
7315,2964,angular,Gitter
7324,5299,angular,Gitter
7328,6923,angular,Gitter
7329,17275,angular,Gitter
7340,32,angular,Gitter
7341,NA,angular,Gitter
7363,2530,angular,Gitter
7370,6760,angular,Gitter
7374,1973,angular,Gitter
7378,4997,angular,Gitter
7391,4590,angular,Gitter
7409,985,angular,Gitter
7426,4955,angular,Gitter
7433,2139,angular,Gitter
7438,4958,angular,Gitter
7478,15139,angular,Gitter
7480,926,angular,Gitter
7481,NA,angular,Gitter
7482,6763,angular,Gitter
7526,3,angular,Gitter
7530,4807,angular,Gitter
7564,3985,angular,Gitter
7571,2156,angular,Gitter
7576,2905,angular,Gitter
7596,7089,angular,Gitter
7617,4926,angular,Gitter
7621,3,angular,Gitter
7626,NA,angular,Gitter
7630,NA,angular,Gitter
7638,38,angular,Gitter
7642,2681,angular,Gitter
7652,164,angular,Gitter
7660,1605,angular,Gitter
7666,136,angular,Gitter
7672,1827,angular,Gitter
7689,4611,angular,Gitter
7690,13304,angular,Gitter
7697,NA,angular,Gitter
7706,4534,angular,Gitter
7713,0,angular,Gitter
7721,486,angular,Gitter
7722,3078,angular,Gitter
7744,16,angular,Gitter
7747,483,angular,Gitter
7748,5021,angular,Gitter
7756,2016,angular,Gitter
7757,NA,angular,Gitter
7782,4461,angular,Gitter
7784,2444,angular,Gitter
7791,19525,angular,Gitter
7795,NA,angular,Gitter
7829,1235,angular,Gitter
7845,4625,angular,Gitter
7849,1540,angular,Gitter
7865,311,angular,Gitter
7873,4315,angular,Gitter
7891,3,angular,Gitter
7892,33,angular,Gitter
7916,4277,angular,Gitter
7930,78,angular,Gitter
7933,13432,angular,Gitter
7964,1324,angular,Gitter
7965,5952,angular,Gitter
7971,1317,angular,Gitter
8006,1260,angular,Gitter
8011,1241,angular,Gitter
8015,6,angular,Gitter
8022,1808,angular,Gitter
8053,45,angular,Gitter
8072,22,angular,Gitter
8107,1758,angular,Gitter
8112,20779,angular,Gitter
8136,26,angular,Gitter
8153,3842,angular,Gitter
8157,0,angular,Gitter
8164,8408,angular,Gitter
8166,3995,angular,Gitter
8167,22,angular,Gitter
8194,14212,angular,Gitter
8208,0,angular,Gitter
8213,3908,angular,Gitter
8232,11,angular,Gitter
8237,1358,angular,Gitter
8238,1,angular,Gitter
8242,86,angular,Gitter
8244,32,angular,Gitter
8245,1066,angular,Gitter
8249,4569,angular,Gitter
8251,15367,angular,Gitter
8277,NA,angular,Gitter
8280,15346,angular,Gitter
8299,2417,angular,Gitter
8302,854,angular,Gitter
8314,8517,angular,Gitter
8315,4428,angular,Gitter
8356,3598,angular,Gitter
8357,1427,angular,Gitter
8368,1167,angular,Gitter
8397,1261,angular,Gitter
8409,1252,angular,Gitter
8411,580,angular,Gitter
8412,3524,angular,Gitter
8413,731,angular,Gitter
8420,769,angular,Gitter
8422,7518,angular,Gitter
8425,719,angular,Gitter
8427,1543,angular,Gitter
8428,3698,angular,Gitter
8458,17,angular,Gitter
8463,3682,angular,Gitter
8482,31,angular,Gitter
8491,23,angular,Gitter
8498,3463,angular,Gitter
8503,1672,angular,Gitter
8508,1014,angular,Gitter
8509,632,angular,Gitter
8511,1118,angular,Gitter
8514,255,angular,Gitter
8517,1058,angular,Gitter
8519,825,angular,Gitter
8529,3599,angular,Gitter
8539,5,angular,Gitter
8544,21,angular,Gitter
8550,8596,angular,Gitter
8561,NA,angular,Gitter
8562,543,angular,Gitter
8563,NA,angular,Gitter
8566,59,angular,Gitter
8567,1189,angular,Gitter
8568,117,angular,Gitter
8569,63,angular,Gitter
8580,516,angular,Gitter
8603,1058,angular,Gitter
8615,2066,angular,Gitter
8620,8,angular,Gitter
8637,324,angular,Gitter
8655,785,angular,Gitter
8667,767,angular,Gitter
8678,14883,angular,Gitter
8682,17,angular,Gitter
8707,NA,angular,Gitter
8714,1,angular,Gitter
8720,404,angular,Gitter
8729,5180,angular,Gitter
8737,3307,angular,Gitter
8759,7101,angular,Gitter
8785,NA,angular,Gitter
8789,13653,angular,Gitter
8797,3216,angular,Gitter
8834,735,angular,Gitter
8845,456,angular,Gitter
8848,6023,angular,Gitter
8866,NA,angular,Gitter
8923,5889,angular,Gitter
8925,709,angular,Gitter
8936,14,angular,Gitter
8997,821,angular,Gitter
9033,5936,angular,Gitter
9035,8,angular,Gitter
9039,10,angular,Gitter
9047,43,angular,Gitter
9049,264,angular,Gitter
9060,24068,angular,Gitter
9062,3253,angular,Gitter
9100,2683,angular,Gitter
9104,7864,angular,Gitter
9115,942,angular,Gitter
9119,NA,angular,Gitter
9156,2,angular,Gitter
9173,51,angular,Gitter
9179,13,angular,Gitter
9201,2,angular,Gitter
9230,186,angular,Gitter
9252,1979,angular,Gitter
9253,103,angular,Gitter
9293,3617,angular,Gitter
9294,974,angular,Gitter
9300,2,angular,Gitter
9315,12699,angular,Gitter
9316,1,angular,Gitter
9319,510,angular,Gitter
9320,1268,angular,Gitter
9324,10402,angular,Gitter
9329,69,angular,Gitter
9334,1755,angular,Gitter
9343,NA,angular,Gitter
9350,12870,angular,Gitter
9359,4135,angular,Gitter
9363,2,angular,Gitter
9368,0,angular,Gitter
9390,158,angular,Gitter
9397,77,angular,Gitter
9398,1,angular,Gitter
9401,51,angular,Gitter
9416,577,angular,Gitter
9417,69,angular,Gitter
9426,NA,angular,Gitter
9431,11,angular,Gitter
9444,1171,angular,Gitter
9446,894,angular,Gitter
9449,1,angular,Gitter
9460,125,angular,Gitter
9467,363,angular,Gitter
9484,72,angular,Gitter
9490,867,angular,Gitter
9494,202,angular,Gitter
9500,202,angular,Gitter
9505,385,angular,Gitter
9508,71,angular,Gitter
9517,14,angular,Gitter
9518,0,angular,Gitter
9527,853,angular,Gitter
9535,123,angular,Gitter
9540,0,angular,Gitter
9553,358,angular,Gitter
9566,5556,angular,Gitter
9568,4,angular,Gitter
9587,NA,angular,Gitter
9604,311,angular,Gitter
9613,4,angular,Gitter
9615,NA,angular,Gitter
9616,27,angular,Gitter
9618,0,angular,Gitter
9641,13687,angular,Gitter
9648,264,angular,Gitter
9662,734,angular,Gitter
9668,NA,angular,Gitter
9677,0,angular,Gitter
9688,1,angular,Gitter
9689,3260,angular,Gitter
9707,7218,angular,Gitter
9729,993,angular,Gitter
9796,NA,angular,Gitter
9798,440,angular,Gitter
9799,1205,angular,Gitter
9804,2359,angular,Gitter
9810,427,angular,Gitter
9811,3735,angular,Gitter
9819,0,angular,Gitter
9827,410,angular,Gitter
9842,397,angular,Gitter
9845,6895,angular,Gitter
9853,4177,angular,Gitter
9872,202,angular,Gitter
9921,3934,angular,Gitter
9947,NA,angular,Gitter
9957,77,angular,Gitter
9962,NA,angular,Gitter
9975,213,angular,Gitter
9997,392,angular,Gitter
10000,0,angular,Gitter
10006,673,angular,Gitter
10010,4825,angular,Gitter
10012,0,angular,Gitter
10054,652,angular,Gitter
10073,103,angular,Gitter
10094,1084,angular,Gitter
10098,NA,angular,Gitter
10106,2,angular,Gitter
10127,13388,angular,Gitter
10131,NA,angular,Gitter
10165,12296,angular,Gitter
10176,4,angular,Gitter
10180,NA,angular,Gitter
10185,NA,angular,Gitter
10207,3682,angular,Gitter
10208,1822,angular,Gitter
10221,13921,angular,Gitter
10250,141,angular,Gitter
10252,3337,angular,Gitter
10253,2578,angular,Gitter
10256,24,angular,Gitter
10277,NA,angular,Gitter
10280,14129,angular,Gitter
10282,1751,angular,Gitter
10295,22,angular,Gitter
10351,275,angular,Gitter
10371,NA,angular,Gitter
10372,8687,angular,Gitter
10423,42,angular,Gitter
10424,10809,angular,Gitter
10472,1495,angular,Gitter
10497,138,angular,Gitter
10499,3667,angular,Gitter
10520,11749,angular,Gitter
10530,NA,angular,Gitter
10552,569,angular,Gitter
10556,NA,angular,Gitter
10567,NA,angular,Gitter
10608,1,angular,Gitter
10612,60,angular,Gitter
10618,498,angular,Gitter
10626,1236,angular,Gitter
10633,1521,angular,Gitter
10636,1476,angular,Gitter
10639,39,angular,Gitter
10646,36,angular,Gitter
10647,NA,angular,Gitter
10659,124,angular,Gitter
10663,NA,angular,Gitter
10671,4,angular,Gitter
10680,27,angular,Gitter
10693,13,angular,Gitter
10694,5,angular,Gitter
10702,10,angular,Gitter
10718,1,angular,Gitter
10726,20289,angular,Gitter
10727,12780,angular,Gitter
10735,0,angular,Gitter
10737,484,angular,Gitter
10746,1459,angular,Gitter
10755,59,angular,Gitter
10760,NA,angular,Gitter
10770,1098,angular,Gitter
10788,NA,angular,Gitter
10789,257,angular,Gitter
10792,301,angular,Gitter
10806,0,angular,Gitter
10809,8939,angular,Gitter
10812,3623,angular,Gitter
10816,NA,angular,Gitter
10838,NA,angular,Gitter
10845,284,angular,Gitter
10846,1354,angular,Gitter
10854,2790,angular,Gitter
10855,6434,angular,Gitter
10862,1323,angular,Gitter
10879,12661,angular,Gitter
10881,3,angular,Gitter
10891,3,angular,Gitter
10894,0,angular,Gitter
10917,NA,angular,Gitter
10929,17581,angular,Gitter
10958,NA,angular,Gitter
10962,17313,angular,Gitter
10964,14,angular,Gitter
10972,12552,angular,Gitter
10981,15844,angular,Gitter
10992,2165,angular,Gitter
11020,32,angular,Gitter
11023,NA,angular,Gitter
11033,8058,angular,Gitter
11034,NA,angular,Gitter
11041,NA,angular,Gitter
11057,611,angular,Gitter
11058,NA,angular,Gitter
11062,NA,angular,Gitter
11073,8,angular,Gitter
11075,3513,angular,Gitter
11076,6242,angular,Gitter
11115,2499,angular,Gitter
11121,1837,angular,Gitter
11144,NA,angular,Gitter
11151,NA,angular,Gitter
11161,5,angular,Gitter
11163,0,angular,Gitter
11168,3169,angular,Gitter
11174,42,angular,Gitter
11197,2,angular,Gitter
11200,NA,angular,Gitter
11248,980,angular,Gitter
11262,663,angular,Gitter
11268,68,angular,Gitter
11271,16,angular,Gitter
11280,510,angular,Gitter
11300,229,angular,Gitter
11305,3,angular,Gitter
11310,4,angular,Gitter
11323,55,angular,Gitter
11325,1825,angular,Gitter
11336,5,angular,Gitter
11358,23,angular,Gitter
11385,NA,angular,Gitter
11400,10140,angular,Gitter
11402,NA,angular,Gitter
11405,NA,angular,Gitter
11408,NA,angular,Gitter
11410,2,angular,Gitter
11421,194,angular,Gitter
11422,NA,angular,Gitter
11432,1,angular,Gitter
11439,0,angular,Gitter
11447,NA,angular,Gitter
11458,5,angular,Gitter
11479,12,angular,Gitter
11493,1340,angular,Gitter
11526,34,angular,Gitter
11580,NA,angular,Gitter
11583,140,angular,Gitter
11590,34,angular,Gitter
11606,1806,angular,Gitter
11607,8,angular,Gitter
11613,11553,angular,Gitter
11630,0,angular,Gitter
11639,66,angular,Gitter
11650,0,angular,Gitter
11658,11941,angular,Gitter
11664,439,angular,Gitter
11667,4951,angular,Gitter
11678,66,angular,Gitter
11682,NA,angular,Gitter
11683,1152,angular,Gitter
11688,4178,angular,Gitter
11698,NA,angular,Gitter
11699,NA,angular,Gitter
11700,NA,angular,Gitter
11701,10684,angular,Gitter
11704,3,angular,Gitter
11727,NA,angular,Gitter
11738,2,angular,Gitter
11740,6648,angular,Gitter
11763,NA,angular,Gitter
11774,532,angular,Gitter
11780,NA,angular,Gitter
11789,3921,angular,Gitter
11801,0,angular,Gitter
11812,311,angular,Gitter
11815,9,angular,Gitter
11820,2,angular,Gitter
11836,NA,angular,Gitter
11841,1,angular,Gitter
11842,286,angular,Gitter
11844,4130,angular,Gitter
11845,0,angular,Gitter
11850,NA,angular,Gitter
11859,NA,angular,Gitter
11873,63,angular,Gitter
11881,1126,angular,Gitter
11884,5,angular,Gitter
11886,2,angular,Gitter
11890,0,angular,Gitter
11915,0,angular,Gitter
11956,9,angular,Gitter
11978,1,angular,Gitter
11981,3,angular,Gitter
11982,3,angular,Gitter
11987,0,angular,Gitter
11988,1,angular,Gitter
11994,3531,angular,Gitter
12009,NA,angular,Gitter
12034,1807,angular,Gitter
12044,2,angular,Gitter
12066,11819,angular,Gitter
12068,0,angular,Gitter
12069,1,angular,Gitter
12070,1,angular,Gitter
12079,11498,angular,Gitter
12088,NA,angular,Gitter
12110,8,angular,Gitter
12119,1,angular,Gitter
12121,NA,angular,Gitter
12127,124,angular,Gitter
12133,819,angular,Gitter
12152,0,angular,Gitter
12155,25,angular,Gitter
12156,22,angular,Gitter
12163,2,angular,Gitter
12175,33,angular,Gitter
12179,49,angular,Gitter
12197,1,angular,Gitter
12200,16735,angular,Gitter
12218,94,angular,Gitter
12233,4376,angular,Gitter
12237,3577,angular,Gitter
12241,NA,angular,Gitter
12248,NA,angular,Gitter
12249,9455,angular,Gitter
12251,NA,angular,Gitter
12274,2020,angular,Gitter
12275,2598,angular,Gitter
12277,94,angular,Gitter
12279,0,angular,Gitter
12282,719,angular,Gitter
12285,10,angular,Gitter
12289,NA,angular,Gitter
12302,0,angular,Gitter
12313,NA,angular,Gitter
12347,NA,angular,Gitter
12351,248,angular,Gitter
12355,550,angular,Gitter
