resolution_time,name,configuration
4,angular,Gitter
8245,angular,Gitter
2,angular,Gitter
712,angular,Gitter
340,angular,Gitter
22,angular,Gitter
172,angular,Gitter
126,angular,Gitter
NA,angular,Gitter
9810,angular,Gitter
29,angular,Gitter
82,angular,Gitter
673,angular,Gitter
1903,angular,Gitter
69,angular,Gitter
20,angular,Gitter
973,angular,Gitter
6,angular,Gitter
2685,angular,Gitter
3844,angular,Gitter
10702,angular,Gitter
3844,angular,Gitter
7683,angular,Gitter
NA,angular,Gitter
59,angular,Gitter
115,angular,Gitter
270,angular,Gitter
1903,angular,Gitter
1002,angular,Gitter
46,angular,Gitter
171,angular,Gitter
87,angular,Gitter
3,angular,Gitter
1616,angular,Gitter
430,angular,Gitter
163,angular,Gitter
3,angular,Gitter
7089,angular,Gitter
115,angular,Gitter
1903,angular,Gitter
4,angular,Gitter
79,angular,Gitter
815,angular,Gitter
126,angular,Gitter
126,angular,Gitter
673,angular,Gitter
143,angular,Gitter
126,angular,Gitter
126,angular,Gitter
2,angular,Gitter
2,angular,Gitter
NA,angular,Gitter
3480,angular,Gitter
15,angular,Gitter
8746,angular,Gitter
4048,angular,Gitter
93,angular,Gitter
198,angular,Gitter
120,angular,Gitter
NA,angular,Gitter
1344,angular,Gitter
15,angular,Gitter
10,angular,Gitter
169,angular,Gitter
1152,angular,Gitter
143,angular,Gitter
7158,angular,Gitter
1344,angular,Gitter
539,angular,Gitter
4,angular,Gitter
407,angular,Gitter
333,angular,Gitter
1684,angular,Gitter
195,angular,Gitter
3769,angular,Gitter
5347,angular,Gitter
35,angular,Gitter
990,angular,Gitter
1152,angular,Gitter
1903,angular,Gitter
1667,angular,Gitter
58,angular,Gitter
815,angular,Gitter
22,angular,Gitter
1152,angular,Gitter
6861,angular,Gitter
2109,angular,Gitter
3506,angular,Gitter
4155,angular,Gitter
6745,angular,Gitter
6733,angular,Gitter
7630,angular,Gitter
171,angular,Gitter
2058,angular,Gitter
702,angular,Gitter
28,angular,Gitter
14,angular,Gitter
9000,angular,Gitter
8593,angular,Gitter
1890,angular,Gitter
29,angular,Gitter
4,angular,Gitter
1210,angular,Gitter
1440,angular,Gitter
29,angular,Gitter
6553,angular,Gitter
